line,indent,name,class,confidence,persist_policy,note,declaration
11015,4,lastEffortSmbFactorApplied,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastEffortSmbFactorApplied: Double? = null
11018,4,lastEffortSmbBeforeU,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastEffortSmbBeforeU: Double? = null
11021,4,lastEffortSmbAfterU,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastEffortSmbAfterU: Double? = null
11022,4,mealAdvisorOneShotThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var mealAdvisorOneShotThisTick: Boolean = false
11023,4,lastTubeAdvisorSmbCapScale,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastTubeAdvisorSmbCapScale: Double? = null
11029,4,lastTubeAdvisorTrace,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastTubeAdvisorTrace: JSONObject? = null
11030,4,lastInflammationResult,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastInflammationResult: app.aaps.plugins.aps.openAPSAIMI.inflammatory.InflammationAdjuster.InflammationResult? = null
11031,4,tickInsulinActionState,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var tickInsulinActionState: InsulinActionState? = null
11032,4,tickEffectiveDiaHours,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var tickEffectiveDiaHours: Double? = null
11033,4,tickEffectivePeakMinutes,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var tickEffectivePeakMinutes: Double? = null
11034,4,lastDecisionSource,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,"private var lastDecisionSource: String = ""AIMI"""
11035,4,lastSafetySource,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,"private var lastSafetySource: String = ""NONE"""
11036,4,lastPredictionAvailable,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastPredictionAvailable: Boolean = false
11037,4,lastPredictionSize,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastPredictionSize: Int = 0
11038,4,lastEventualBgSnapshot,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastEventualBgSnapshot: Double = 0.0
11039,4,lastSmbProposed,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastSmbProposed: Double = 0.0
11041,4,lastSmbBindingTraceDraft,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastSmbBindingTraceDraft = SmbBindingTrace.Draft()
11043,4,lastEffortMemory,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var lastEffortMemory = EffortActivityBelief.Memory()
11044,4,lastEffortAssessment,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastEffortAssessment: EffortActivityBelief.Assessment? = null
11046,4,lastContextSmbCeilingU,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastContextSmbCeilingU: Double? = null
11048,4,lastContextSuppressSmb,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastContextSuppressSmb: Boolean = false
11051,4,slowCarbBudgetWindowMs,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var slowCarbBudgetWindowMs: Long = 0L
11052,4,slowCarbBudgetDeliveredU,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var slowCarbBudgetDeliveredU: Double = 0.0
11053,4,lastPhysioLatentState,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastPhysioLatentState: PhysioLatentState? = null
11054,4,lastUamHypothesisState,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastUamHypothesisState: UamHypothesisState? = null
11055,4,lastContextSnapshot,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastContextSnapshot: ContextSnapshot? = null
11056,4,lastPatientState,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPatientState: PatientStateSnapshot? = null
11057,4,lastPatientModeDecision,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPatientModeDecision: PatientModeOrchestrator.Decision? = null
11058,4,lastPhysiologicalTreeSnapshot,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPhysiologicalTreeSnapshot: PhysiologicalTreeSnapshot? = null
11062,4,lastNgrBasalMultiplier,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastNgrBasalMultiplier: Double = 1.0
11073,4,lastHarmoniaDecision,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastHarmoniaDecision: HarmoniaDecision? = null
11074,4,lastMealCertainty,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastMealCertainty: MealCertainty? = null
11075,4,lastHarmonizerOutcome,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastHarmonizerOutcome: HarmoniaHarmonizer.Outcome? = null
11076,4,lastHarmoniaProductionDecision,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastHarmoniaProductionDecision: HarmoniaProductionDecision? = null
11077,4,lastPatientSourceSensor,INPUT,HEURISTIC,n/a,CGM source id for this tick.,private var lastPatientSourceSensor: SourceSensor? = null
11079,4,lastIobSurveillanceExport,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastIobSurveillanceExport: AimiDecisionContext.IobSurveillanceExport? = null
11082,4,tickIobEffectiveU,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var tickIobEffectiveU: Double? = null
11085,4,lastPostHypoOrdinal,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastPostHypoOrdinal: Int = 0
11088,4,lastIobReleaseExport,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastIobReleaseExport: AimiDecisionContext.IobReleaseExport? = null
11089,4,lastSmbCapped,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastSmbCapped: Double = 0.0
11090,4,currentThyroidEffects,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var currentThyroidEffects = app.aaps.plugins.aps.openAPSAIMI.physio.thyroid.ThyroidEffects()
11091,4,lastSmbFinal,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastSmbFinal: Double = 0.0
11092,4,lastAutodriveState,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastAutodriveState: AutodriveState = AutodriveState.IDLE
11093,4,duraISFminutes,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var duraISFminutes: Double = 0.0
11094,4,duraISFaverage,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var duraISFaverage: Double = 0.0
11095,4,iobNet,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var iobNet: Double = 0.0 // Corrected IOB for learning
11101,8,lastSmbTimestampMem,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastSmbTimestampMem: Long = 0L
11230,8,lastLegacyPrebolusTimestampMem,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastLegacyPrebolusTimestampMem: Long = 0L
11237,8,lastCarryRetryFireMillis,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastCarryRetryFireMillis: Long = 0L
11244,8,pendingLegacyPrebolusUnitMem,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var pendingLegacyPrebolusUnitMem: Float = 0.0f
11245,8,pendingLegacyPrebolusExpiryMem,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var pendingLegacyPrebolusExpiryMem: Long = 0L
11248,4,internalLastSmbMillis,ENGINE_STATE,HEURISTIC,persist,Cross-tick memory on freeze. CORE must confirm.,private var internalLastSmbMillis: Long
11256,4,internalLastLegacyPrebolusMillis,ENGINE_STATE,HEURISTIC,persist,Cross-tick memory on freeze. CORE must confirm.,private var internalLastLegacyPrebolusMillis: Long
11269,4,pendingLegacyPrebolusUnit,ENGINE_STATE,HEURISTIC,persist,Cross-tick memory on freeze. CORE must confirm.,private var pendingLegacyPrebolusUnit: Float
11281,4,pendingLegacyPrebolusExpiry,ENGINE_STATE,HEURISTIC,persist,Cross-tick memory on freeze. CORE must confirm.,private var pendingLegacyPrebolusExpiry: Long
11292,4,zeroBasalAccumulatedMinutes,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var zeroBasalAccumulatedMinutes: Int = 0
11295,4,pkpdThrottleIntervalAdd,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var pkpdThrottleIntervalAdd: Int = 0       // 🚀 PKPD interval boost (0 si normal/modes repas)
11296,4,pkpdPreferTbrBoost,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var pkpdPreferTbrBoost: Double = 1.0       // 🚀 PKPD TBR boost factor (1.0 si normal/modes repas)
14111,4,lastHypoBelow70At,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var lastHypoBelow70At: Long = 0L
